"Instances","feature_number_ex","feature_number_ftr","feature_ratio_ex_ftr","feature_skewness","feature_kurtosis","feature_multi_norm","feature_perc_out","feature_avg_pca","feature_ratio_pca","feature_avg_abs_cor","feature_low_dist","feature_high_dist","feature_eigen_cent","feature_net_dens","feature_clust_coef","algo_kmeans","algo_kmedians","algo_kmedoids","algo_single","algo_complete","algo_average","algo_wards","algo_closest","algo_mbkmeans"
"ellipsoid.100d4c.9.dat",2.7987,2,6.29,1106914.9976,1090.9796,3.3199,0,62.9,0.1,0.4181,0.1992,0.198,1.591,0.1875,0.7406,0.684664191628258,0.279148064213499,0.378611193010541,0.00628092138561624,0.360291799482952,0.755156931671266,0.729738361152145,0.788764624467994,0.628254738034285
"ellipsoid.50d10c.1.dat",3.431,1.699,53.96,208356.246,752.7196,5.0161,9e-04,269.8,0.2,0.3201,0.1781,0.1788,3.0644,0.2099,0.6089,0.413930753187303,0.300324625225787,0.459512184084369,0.000357474114602556,0.3137520524462,0.317135384331172,0.51122187217269,0.267509373724562,0.459042262598293
"ellipsoid.50d10c.10.dat",3.5176,1.699,65.86,255007.7495,913.3625,5.7463,0.0017,299.3636,0.22,0.2764,0.1798,0.1745,2.5509,0.2178,0.5669,0.354117985749053,0.240065264041286,0.415366349256946,0.000820658384190631,0.251468754322633,0.279549841018564,0.327538674274399,0.128725972081487,0.370527044385261
"ellipsoid.50d10c.2.dat",3.5077,1.699,64.38,252260.9758,891.607,7.5403,0.0031,292.6364,0.22,0.3046,0.1695,0.1672,2.1275,0.2161,0.5799,0.440691969838252,0.286912830729998,0.436559574840449,0.000275510810049662,0.205468413597887,0.245778468000113,0.532302024102667,0.222232892368894,0.380569498997464
"ellipsoid.50d10c.3.dat",3.4652,1.699,58.38,280729.8245,1072.362,6.0468,0.0023,243.25,0.24,0.2998,0.1628,0.1857,2.6745,0.2142,0.5659,0.436280868571675,0.500413464626307,0.487225294657147,0.00010875231935193,0.254478429815867,0.281377502058926,0.597359133786711,0.15037633299792,0.246053428714682
"ellipsoid.50d10c.4.dat",3.4334,1.699,54.26,215541.0205,698.6035,4.9307,0.0024,246.6364,0.22,0.3198,0.1746,0.1776,2.3373,0.2081,0.6303,0.35144875808363,0.432992161707619,0.47733745509368,3.12304404421608e-05,0.316016178719874,0.317545600239595,0.419136486368851,0.107884430177942,0.328759166241434
"ellipsoid.50d10c.5.dat",3.3913,1.699,49.24,401597.399,1427.4526,9.5032,0.0074,246.2,0.2,0.3403,0.1617,0.1663,2.5047,0.2032,0.6577,0.436685590077095,0.27294744668801,0.56008194418482,0.000530913211912641,0.43718840940272,0.402121484463692,0.459991707047228,0.265893324514857,0.572940340969784
"ellipsoid.50d10c.6.dat",3.4698,1.699,59,221801.5074,789.809,5.8228,4e-04,268.1818,0.22,0.2958,0.1749,0.1774,2.1843,0.2116,0.5863,0.347932191851755,0.474620912693302,0.535764461790494,0.00034386122886594,0.257230539267098,0.325159563298352,0.493076381140639,0.154544188213896,0.384911601503596
"ellipsoid.50d10c.7.dat",3.367,1.699,46.56,356601.7232,1297.9753,6.4027,0.0031,211.6364,0.22,0.3717,0.1634,0.1753,2.6191,0.2083,0.6072,0.427699087348082,0.206824761794525,0.399424933395509,0.00105352265593216,0.403495806605375,0.224456350196783,0.465557009173831,0.244252009030745,0.23003161090443
"ellipsoid.50d10c.8.dat",3.4969,1.699,62.8,272309.7334,946.2585,7.0857,0.0046,285.4545,0.22,0.3273,0.1644,0.1703,2.2679,0.2136,0.5807,0.414846764713482,0.309473884301659,0.487989169786463,4.22806034250933e-05,0.215723254779954,0.268538894929812,0.738887251196266,0.249744209593195,0.239409884681788
"ellipsoid.50d10c.9.dat",3.3506,1.699,44.84,239277.6146,798.2246,4.9983,0.0071,203.8182,0.22,0.3071,0.1581,0.1697,2.5279,0.2094,0.5978,0.443262309309086,0.308030659148482,0.455482646155064,0.00156576406908039,0.300618901267556,0.220896821678505,0.49679686253335,0.212963918356224,0.620355980665053
"ellipsoid.50d20c.1.dat",3.0983,1.699,25.08,198468.2779,287.5485,2.1791,0.0045,69.6667,0.36,0.2134,0.1678,0.1644,2.1641,0.2443,0.4857,0.310892922786299,0.116097345987795,0.499886979222827,0.000454391661303618,0.183673696830134,0.199619558475635,0.499322874188341,0.0898520716319682,0.356551443937195
"ellipsoid.50d20c.10.dat",3.0577,1.699,22.84,184693.7737,290.6793,2.2881,0.0017,63.4444,0.36,0.2224,0.1754,0.1691,2.6288,0.2436,0.4844,0.265530138686507,0.265083717613622,0.488132047610093,0.000224984887528726,0.270147709640674,0.251797555219447,0.600462086691586,0.163184265256791,0.290848176924446
"ellipsoid.50d20c.2.dat",3.0618,1.699,23.06,237933.5564,414.3982,2.5929,0.0032,64.0556,0.36,0.216,0.1626,0.1845,2.9964,0.2408,0.4871,0.397572621745715,0.107201322618523,0.610563176946276,0.00673592140501216,0.160776711397501,0.175569557375156,0.532025420460323,0.082157705315154,0.333637468660501
"ellipsoid.50d20c.3.dat",3.1166,1.699,26.16,208614.843,363.5413,2.6214,8e-04,76.9412,0.34,0.218,0.1835,0.1766,2.9551,0.2449,0.4836,0.268997334081975,0.253310691547198,0.488752722870812,5.71021664069782e-05,0.169729671534655,0.212144306470974,0.595301129360068,0.15463368012087,0.211424334872577
"ellipsoid.50d20c.4.dat",3.0955,1.699,24.92,252535.2575,409.0093,2.4335,0.0016,69.2222,0.36,0.2147,0.1757,0.1778,3.0495,0.2421,0.4821,0.306284123822774,0.378580241837517,0.450117539084152,0.00257540023702424,0.21692600572052,0.217572487665675,0.491406214811294,0.115838800077084,0.273084777297495
"ellipsoid.50d20c.5.dat",3.0945,1.699,24.86,204911.2865,360.6216,2.1911,0.0023,69.0556,0.36,0.2172,0.1718,0.1796,2.6172,0.246,0.4799,0.340895569684547,0.168976418890076,0.487068921696358,0.000854099490553365,0.204931483531741,0.198596374867457,0.40295582134709,0.0774119634614134,0.193523406754509
"ellipsoid.50d20c.6.dat",3.0261,1.699,21.24,170617.5703,245.3843,1.8321,0.0011,62.4706,0.34,0.2153,0.1774,0.1756,2.8547,0.2416,0.4785,0.384149589663046,0.115325359390089,0.51159770388353,0.00574995078292297,0.24613654577785,0.305492219990218,0.521753424877278,0.113803486040941,0.238497121865605
"ellipsoid.50d20c.7.dat",3.003,1.699,20.14,168805.5895,253.3063,1.5995,0.0021,59.2353,0.34,0.2221,0.1725,0.1626,2.3843,0.2419,0.4787,0.361308024074024,0.187416917877359,0.411256811274371,0.00341443790907544,0.324531593067457,0.291278060758232,0.551898772657695,0.138488608413945,0.406033890019094
"ellipsoid.50d20c.8.dat",3.0722,1.699,23.62,196521.3287,303.9502,1.9034,0.0043,65.6111,0.36,0.2167,0.168,0.1736,2.7141,0.2439,0.4751,0.329315496502977,0.199429964983533,0.465768560865498,0.00529034092938437,0.181883574219091,0.268881966702308,0.452483512998277,0.0577881773763356,0.326967128850318
"ellipsoid.50d20c.9.dat",3.0473,1.699,22.3,206054.0995,369.1167,2.2917,0.0048,58.6842,0.38,0.2198,0.1553,0.1774,3.0304,0.2418,0.4802,0.354654466810899,0.288933044021012,0.53784159432597,0.00184096340899438,0.180981794618124,0.16693088682027,0.550220802125706,0.0452243244612161,0.304460899039487
